file_source,final_score,p1_green1,p1_green2,p1_green3,p1_green4,p1_green5,p1_yellow1,p1_yellow2,p1_yellow3,p1_yellow4,p1_yellow5,p1_white1,p1_white2,p1_white3,p1_white4,p1_white5,p1_blue1,p1_blue2,p1_blue3,p1_blue4,p1_blue5,p1_red1,p1_red2,p1_red3,p1_red4,p1_red5,p2_green1,p2_green2,p2_green3,p2_green4,p2_green5,p2_yellow1,p2_yellow2,p2_yellow3,p2_yellow4,p2_yellow5,p2_white1,p2_white2,p2_white3,p2_white4,p2_white5,p2_blue1,p2_blue2,p2_blue3,p2_blue4,p2_blue5,p2_red1,p2_red2,p2_red3,p2_red4,p2_red5,p1_1_count,p1_2_count,p1_3_count,p1_4_count,p1_5_count,p1_hand_sum,p1_avg_value,p2_1_count,p2_2_count,p2_3_count,p2_4_count,p2_5_count,p2_hand_sum,p2_avg_value,id, ai, deck, score, time, first,ai,deck,score,age,boardgameexp,gamer,hanabiexp,recent,maxscore,intention,skill,like,publish
game003d9bcb9d27dacf.log,15,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,1,10,2.0,2,1,0,2,0,12,2.4,bcbbc9bc2cd7369f, intentional,3,18,1490488725.0, yes, intentional,3,18, 30s, 4, yes, 4, 4, 4, 2, 2, 2, yes
game0073425f0b25520f.log,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,16,3.2,3,2,0,0,0,7,1.4,19dbddedf07994e2, full,9813,5,1489965568.0, no, outer,3,8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
game007c0324e3f7b88a.log,19,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,2,0,12,2.4,1,2,1,1,0,12,2.4,ca0922b34e670338, full,1965,20,1491854972.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game007e20cb959b48fa.log,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,1,1,15,3.0,2,0,1,2,0,13,2.6,cfae3ca2f65f0b94, full,1335,5,1490366434.0, no, intentional,1,15, , , , , , , , , , yes
game00dcc5b032e51393.log,16,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,2,0,14,2.8,1,1,1,1,1,15,3.0,ca0922b34e670338, full,2986,18,1492705221.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game00e42a49431d279b.log,15,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,2,0,12,2.4,1,0,0,2,2,19,3.8,19dbddedf07994e2, full,4527,23,1490723670.0, no, outer,3,8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
game01443b8574046d43.log,17,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,14,2.8,0,1,1,2,1,18,3.6,19dbddedf07994e2, outer,7906,1,1489706319.0, no, outer,3,8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
game0177cb21423c3efb.log,18,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,2,0,12,2.4,0,1,3,1,0,15,3.0,2119fe68a204e42a, intentional,6053,21,1490304171.0, no, outer,2,4, 20s, 4, yes, 4, 4, 4, 3, 2, 4, yes
game01798040f8469e9d.log,18,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,1,1,12,2.4,2,0,0,1,2,16,3.2,19dbddedf07994e2, full,830,14,1489830238.0, no, outer,3,8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
game01a5c7c849fcd2e9.log,16,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,3,1,0,14,2.8,1,0,1,2,1,17,3.4,ca0922b34e670338, intentional,1839,10,1492552413.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
